time_step,vehicle_id,route_id,speed,co_emission,co2_emission,nox_emission,fuel_consumption,noise,pos_x,pos_y,lane_id,waiting_time,acceleration
18,1,!1,12.157,49.65,6513.697,2.227,2111.639,68.728,684.991,2438.532,464275045_0,0.0,1.631
19,0,!0,3.869,0.0,0.0,0.0,0.0,50.243,639.693,2460.571,:3725789304_2_0,0.0,-1.996
19,1,!1,11.55,0.0,0.0,0.0,0.0,61.484,692.112,2429.438,464275045_0,0.0,-0.607
20,0,!0,3.188,0.0,0.0,0.0,0.0,54.478,642.035,2459.393,:3725789304_10_0,0.0,-0.681
20,1,!1,7.692,0.0,0.0,0.0,0.0,53.858,696.853,2423.382,464275045_0,0.0,-3.859
20,2,!2,8.33,1.768,1720.168,0.643,557.667,60.57,561.922,2377.797,506648334#4_0,0.0,0.0
21,0,!0,2.707,0.0,0.0,0.0,0.0,55.034,644.172,2461.031,-464275053#9_0,0.0,-0.481
21,1,!1,7.287,0.0,0.0,0.0,0.0,58.479,701.677,2417.949,:4594098405_7_0,0.0,-0.405
21,2,!2,7.331,0.0,0.0,0.0,0.0,56.796,569.227,2377.202,506648334#4_0,0.0,-0.999
22,0,!0,4.913,10.115,4763.513,1.233,1544.23,67.619,648.018,2464.087,-464275053#9_0,0.0,2.206
22,1,!1,7.162,0.0,1449.306,0.576,469.859,59.314,708.372,2416.748,:4594098405_7_0,0.0,-0.125
22,2,!2,7.998,9.374,3022.777,0.987,979.944,62.732,577.199,2376.588,506648334#4_0,0.0,0.666
23,1,!1,7.304,2.575,1942.856,0.699,629.857,60.353,714.297,2420.969,464275044#1_0,0.0,0.142
23,2,!2,8.267,5.106,2263.94,0.79,733.946,61.446,585.065,2378.833,:4594098408_7_0,0.0,0.27
24,1,!1,9.826,47.518,7661.53,2.403,2483.739,71.216,721.802,2427.314,464275044#1_0,0.0,2.522
24,2,!2,10.629,52.55,7714.223,2.494,2500.824,70.92,593.717,2384.972,-464275047_0,0.0,2.362
25,1,!1,11.454,43.738,6216.777,2.086,2015.382,68.35,730.551,2434.71,464275044#1_0,0.0,1.628
25,2,!2,13.174,87.913,9728.801,3.396,3153.915,72.914,603.738,2393.523,-464275047_0,0.0,2.545
26,1,!1,11.983,19.161,3380.734,1.188,1095.992,64.727,739.72,2442.424,:4594098399_3_0,0.0,0.528
26,2,!2,13.861,32.316,4248.007,1.53,1377.146,66.393,614.281,2402.521,-464275047_0,0.0,0.687
27,1,!1,10.247,0.0,0.0,0.0,0.0,58.527,747.574,2449.006,464275044#2_0,0.0,-1.736
27,2,!2,13.121,0.0,0.0,0.0,0.0,62.539,624.261,2411.038,-464275047_0,0.0,-0.74
28,1,!1,7.229,0.0,0.0,0.0,0.0,53.527,753.119,2453.642,464275044#2_0,0.0,-3.018
28,2,!2,12.934,0.874,1422.892,0.54,461.297,63.454,634.099,2419.434,-464275047_0,0.0,-0.187
29,1,!1,6.098,0.0,0.0,0.0,0.0,55.231,758.003,2457.27,:3725789306_3_0,0.0,-1.131
29,2,!2,9.763,0.0,0.0,0.0,0.0,57.0,641.525,2425.771,-464275047_0,0.0,-3.171
30,1,!1,5.475,0.0,0.0,0.0,0.0,56.32,763.037,2456.153,:3725789306_3_0,0.0,-0.623
30,2,!2,5.303,0.0,0.0,0.0,0.0,49.271,645.558,2429.213,-464275047_0,0.0,-4.46
30,3,!3,13.89,8.198,2058.856,0.759,667.465,64.568,724.672,2522.808,-464275053#6_0,0.0,0.0
31,1,!1,5.923,3.518,2355.903,0.781,763.755,60.674,767.064,2451.823,368732296#1_0,0.0,0.448
31,2,!2,6.898,14.906,4494.775,1.314,1457.129,65.902,650.182,2434.243,:4594098407_4_0,0.0,1.595
31,3,!3,14.536,34.412,4278.683,1.56,1387.09,66.688,737.217,2529.548,:cluster_3725790437_4594098414_13_0,0.0,0.646
32,1,!1,7.473,17.132,4596.398,1.373,1490.076,65.994,771.997,2446.211,368732296#1_0,0.0,1.55
32,2,!2,7.741,10.678,3322.188,1.058,1077.006,63.268,649.517,2441.518,:4594098407_4_0,0.0,0.843
32,3,!3,14.068,0.0,0.0,0.0,0.0,63.742,751.261,2529.191,:cluster_3725790437_4594098414_13_0,0.0,-0.468
33,1,!1,5.124,0.0,0.0,0.0,0.0,51.082,774.829,2442.018,:4594098401_6_0,0.0,-2.349
33,2,!2,7.356,0.0,0.0,0.0,0.0,58.595,644.986,2447.298,-368732322#0_0,0.0,-0.385
33,3,!3,14.078,8.875,2105.419,0.776,682.56,64.72,765.302,2528.211,-368732259#3_0,0.0,0.009
34,1,!1,4.864,0.0,0.0,0.0,0.0,57.235,773.559,2437.613,:4594098401_6_0,0.0,-0.26
34,2,!2,4.935,0.0,0.0,0.0,0.0,50.65,641.791,2451.061,-368732322#0_0,0.0,-2.421
34,3,!3,14.528,26.813,3623.145,1.323,1174.578,66.13,779.796,2527.281,:4594098416_9_0,0.0,0.451
35,1,!1,5.161,1.87,2054.657,0.707,666.098,59.631,769.756,2434.135,464275041_0,0.0,0.297
35,2,!2,5.519,3.771,2520.98,0.809,817.268,60.998,639.821,2455.992,:3725789304_3_0,0.0,0.584
35,3,!3,14.022,0.0,0.0,0.0,0.0,63.639,793.787,2526.418,-368732259#2_0,0.0,-0.507
36,1,!1,6.827,15.192,4596.106,1.334,1489.978,66.166,764.581,2429.684,464275041_0,0.0,1.665
36,2,!2,6.461,8.035,3251.585,0.998,1054.114,62.97,643.896,2460.811,-464275053#9_0,0.0,0.943
36,3,!3,15.035,52.354,5671.984,2.083,1838.771,68.113,808.797,2525.555,-368732259#2_0,0.0,1.013
37,1,!1,9.191,38.967,6966.173,2.142,2258.315,70.247,757.612,2423.691,464275041_0,0.0,2.364
37,2,!2,8.858,36.579,6867.322,2.084,2226.268,70.228,650.83,2466.322,-464275053#9_0,0.0,2.397
37,3,!3,14.634,0.0,0.0,0.0,0.0,64.282,823.406,2524.626,:3725790435_9_0,0.0,-0.401
38,1,!1,11.77,70.427,8940.233,2.992,2898.275,72.377,748.689,2416.016,464275041_0,0.0,2.579
38,2,!2,10.544,37.924,5996.892,1.958,1944.098,68.105,659.178,2472.771,:3725789313_9_0,0.0,1.686
38,3,!3,13.971,0.0,0.0,0.0,0.0,63.34,837.349,2523.656,-368732259#1_0,0.0,-0.663
39,1,!1,12.864,39.678,5223.684,1.833,1693.441,67.134,738.936,2407.628,464275041_0,0.0,1.094
39,2,!2,13.051,85.049,9536.83,3.318,3091.681,72.699,669.575,2480.665,-464275053#8_0,0.0,2.507
39,3,!3,14.112,13.753,2537.053,0.929,822.487,65.057,851.422,2522.606,-368732259#1_0,0.0,0.141
40,1,!1,12.893,7.458,2067.075,0.759,670.129,63.938,729.161,2399.221,464275041_0,0.0,0.03
40,2,!2,13.56,24.758,3619.681,1.303,1173.454,65.676,680.481,2488.718,-464275053#8_0,0.0,0.509
40,3,!3,11.156,0.0,0.0,0.0,0.0,58.74,862.546,2521.776,-368732259#1_0,0.0,-2.957
40,4,!4,13.89,8.198,2058.856,0.759,667.465,64.568,636.497,2580.535,464275475#1_0,0.0,0.0
41,1,!1,11.828,0.0,0.0,0.0,0.0,60.934,720.194,2391.508,464275041_0,0.0,-1.065
41,2,!2,13.201,0.0,0.0,0.0,0.0,63.289,691.009,2496.677,:4594098400_7_0,0.0,-0.359
41,3,!3,6.656,0.0,0.0,0.0,0.0,51.942,869.183,2521.281,-368732259#1_0,0.0,-4.5
41,4,!4,13.03,0.0,0.0,0.0,0.0,62.277,626.909,2571.71,464275475#1_0,0.0,-0.86
42,1,!1,12.777,34.757,4768.007,1.674,1545.72,66.584,710.507,2383.177,464275041_0,0.0,0.949
42,2,!2,13.014,0.954,1428.341,0.541,463.063,63.516,701.287,2504.666,-464275053#7_0,0.0,-0.187
42,3,!3,8.489,26.069,5516.128,1.68,1788.237,67.675,876.476,2524.174,:cluster_3725790432_3725790440_17_0,0.0,1.833
42,4,!4,14.211,52.482,5951.128,2.148,1929.265,68.202,616.452,2562.084,464275475#1_0,0.0,1.181
43,2,!2,12.76,0.0,1220.723,0.472,395.758,63.177,711.332,2512.537,:3725790426_9_0,0.0,-0.254
43,3,!3,10.509,44.423,6807.385,2.205,2206.844,69.445,879.869,2533.998,:cluster_3725790432_3725790440_17_0,0.0,2.02
43,4,!4,13.978,0.009,1316.052,0.496,426.662,64.123,606.166,2552.616,:4594104817_1_0,0.0,-0.233
44,2,!2,13.1,17.58,3022.877,1.088,979.982,64.899,721.691,2520.542,-464275053#6_0,0.0,0.34
44,3,!3,11.749,36.322,5278.997,1.799,1711.372,67.029,881.085,2545.662,:cluster_3725790432_3725790440_17_0,0.0,1.24
44,4,!4,13.465,0.0,0.0,0.0,0.0,63.199,596.261,2543.496,:4594104817_1_0,0.0,-0.513
45,2,!2,13.049,5.18,1834.925,0.68,594.87,63.851,732.056,2528.475,:cluster_3725790437_4594098414_14_0,0.0,-0.052
45,3,!3,12.256,19.572,3368.995,1.19,1092.186,64.835,881.557,2557.904,368732203#5_0,0.0,0.507
45,4,!4,13.927,24.67,3542.592,1.283,1148.464,65.776,586.016,2534.065,464275475#2_0,0.0,0.462
46,2,!2,13.516,23.196,3482.922,1.254,1129.12,65.529,741.052,2538.511,-464275053#5_0,0.0,0.467
46,3,!3,14.781,110.968,10735.38,3.913,3480.226,73.618,881.903,2572.679,:3725790449_3_0,0.0,2.526
46,4,!4,13.58,0.0,0.0,0.0,0.0,63.602,576.025,2524.868,464275475#2_0,0.0,-0.346
47,2,!2,13.324,0.988,1422.54,0.537,461.183,63.731,747.563,2550.084,-464275053#5_0,0.0,-0.192
47,3,!3,14.202,0.0,0.0,0.0,0.0,63.654,882.148,2586.881,:3725790449_3_0,0.0,-0.579
47,4,!4,13.224,0.0,0.0,0.0,0.0,63.314,566.297,2515.912,464275475#2_0,0.0,-0.356
48,2,!2,13.288,6.02,1899.96,0.703,615.954,64.06,752.123,2562.54,:4594102489_7_0,0.0,-0.036
48,3,!3,14.916,39.226,4602.101,1.688,1491.936,67.117,882.337,2601.796,368732203#6_0,0.0,0.713
48,4,!4,11.87,0.0,0.0,0.0,0.0,60.588,557.565,2507.874,464275475#2_0,0.0,-1.355
49,2,!2,13.485,14.054,2636.233,0.959,854.639,64.771,754.85,2575.699,-464275053#4_0,0.0,0.197
49,3,!3,14.228,0.0,0.0,0.0,0.0,63.502,882.516,2616.022,368732203#6_0,0.0,-0.688
49,4,!4,7.712,0.0,0.0,0.0,0.0,53.815,551.891,2502.651,464275475#2_0,0.0,-4.158
50,2,!2,11.049,0.0,0.0,0.0,0.0,58.846,755.204,2586.741,-464275053#4_0,0.0,-2.436
50,3,!3,14.545,21.703,3178.647,1.163,1030.48,65.786,882.15,2630.554,368732203#6_0,0.0,0.317
50,4,!4,6.397,0.0,0.0,0.0,0.0,55.034,547.37,2498.141,:4594104816_1_0,0.0,-1.315
50,5,!5,11.543,4.704,1885.335,0.696,611.212,62.895,1088.72,2126.926,-496067748_0,0.0,0.0
51,2,!2,6.549,0.0,0.0,0.0,0.0,51.747,755.513,2593.276,:3725790464_8_0,0.0,-4.5
51,3,!3,13.864,0.0,0.0,0.0,0.0,63.228,881.365,2644.396,368732203#6_0,0.0,-0.681
51,4,!4,6.367,0.57,1601.715,0.614,519.267,59.104,544.558,2492.666,:4594104816_1_0,0.0,-0.029
51,5,!5,11.282,0.0,0.0,0.0,0.0,62.037,1077.459,2127.626,-496067748_0,0.0,-0.26
52,2,!2,5.285,0.0,0.0,0.0,0.0,54.032,758.129,2597.504,:3725790464_8_0,0.0,-1.264
52,3,!3,14.739,44.589,5102.08,1.864,1654.02,67.5,880.529,2659.11,368732203#6_0,0.0,0.874
52,4,!4,6.623,2.943,2099.641,0.732,680.682,60.338,549.387,2488.984,:4594104816_1_0,0.0,0.256
52,5,!5,11.229,3.106,1727.03,0.645,559.892,62.525,1066.252,2128.322,-496067748_0,0.0,-0.053
53,2,!2,5.849,4.148,2531.69,0.818,820.74,61.098,763.876,2597.897,-368732305_0,0.0,0.564
53,3,!3,13.883,0.0,0.0,0.0,0.0,62.984,879.832,2672.975,368732203#6_0,0.0,-0.855
53,4,!4,6.731,1.827,1850.361,0.673,599.872,59.852,555.976,2487.673,-464275471#2_0,0.0,0.108
53,5,!5,11.275,5.443,1987.987,0.728,644.49,62.825,1054.999,2129.021,-496067748_0,0.0,0.045
54,2,!2,8.051,27.74,6078.144,1.798,1970.429,69.02,771.749,2596.522,-368732305_0,0.0,2.202
54,3,!3,14.451,30.938,3995.777,1.456,1295.378,66.407,879.348,2687.418,368732203#6_0,0.0,0.567
54,4,!4,8.771,30.814,6066.39,1.853,1966.622,68.678,564.66,2486.446,:3725789319_13_0,0.0,2.04
54,5,!5,10.757,0.0,0.0,0.0,0.0,61.017,1044.262,2129.688,-496067748_0,0.0,-0.517
55,2,!2,10.064,40.485,6585.506,2.103,2134.914,69.198,780.962,2592.636,-368732305_0,0.0,2.014
55,3,!3,14.926,29.578,3786.95,1.391,1227.68,66.45,878.849,2702.336,368732203#6_0,0.0,0.475
55,4,!4,10.952,51.961,7430.363,2.434,2408.802,70.328,575.514,2484.955,:3725789319_13_0,0.0,2.182
55,5,!5,10.302,0.0,0.0,0.0,0.0,60.786,1033.98,2130.327,-496067748_0,0.0,-0.456
56,2,!2,12.654,82.145,9525.477,3.274,3088.001,72.846,790.427,2584.337,-368732305_0,0.0,2.589
56,3,!3,14.522,0.0,0.0,0.0,0.0,64.195,878.399,2716.851,368732203#6_0,0.0,-0.404
56,4,!4,13.393,87.541,9548.025,3.355,3095.31,72.59,588.788,2483.148,-464275471#1_0,0.0,2.44
56,5,!5,10.685,11.756,2794.014,0.976,905.788,63.427,1023.315,2130.99,-496067748_0,0.0,0.384
57,2,!2,13.611,40.195,5035.672,1.799,1632.492,67.102,798.483,2573.448,-368732305_0,0.0,0.957
57,3,!3,13.979,0.0,0.0,0.0,0.0,63.543,878.061,2730.825,368732203#6_0,0.0,-0.543
57,4,!4,13.501,11.153,2364.108,0.864,766.422,64.558,602.17,2481.362,:4594104809_7_0,0.0,0.109
57,5,!5,10.317,0.0,0.0,0.0,0.0,61.012,1013.017,2131.629,-496067748_0,0.0,-0.369
58,2,!2,13.372,0.0,1279.51,0.488,414.815,63.665,805.733,2562.211,-368732305_0,0.0,-0.239
58,3,!3,15.026,53.689,5786.374,2.125,1875.854,68.218,877.698,2745.847,368732203#6_0,0.0,1.047
58,4,!4,13.681,14.001,2608.049,0.951,845.503,64.861,615.719,2479.489,:4594104809_7_0,0.0,0.18
58,5,!5,11.078,21.271,3823.747,1.307,1239.607,64.928,1001.961,2132.316,-496067748_0,0.0,0.761
59,2,!2,13.735,20.494,3195.906,1.158,1036.075,65.381,813.179,2550.667,-368732305_0,0.0,0.364
59,3,!3,14.407,0.0,0.0,0.0,0.0,63.747,877.568,2760.248,368732203#6_0,0.0,-0.619
59,4,!4,13.441,0.0,1278.678,0.487,414.546,63.715,629.01,2477.503,-464275471#0_0,0.0,-0.24
59,5,!5,11.186,6.755,2144.538,0.778,695.24,62.937,990.796,2133.01,-496067748_0,0.0,0.108
60,2,!2,12.961,0.0,0.0,0.0,0.0,62.354,818.031,2538.725,-368732305_0,0.0,-0.774
60,3,!3,14.42,9.664,2148.195,0.792,696.427,64.966,878.164,2774.655,368732203#6_0,0.0,0.013
60,4,!4,10.093,0.0,0.0,0.0,0.0,57.361,638.99,2476.004,-464275471#0_0,0.0,-3.348
60,5,!5,11.084,1.88,1594.465,0.604,516.917,62.289,979.733,2133.697,-496067748_0,0.0,-0.102
60,6,!6,22.22,33.559,3182.79,1.213,1031.829,69.851,366.569,1697.121,876422477#1_0,0.0,0.0
61,3,!3,14.29,4.071,1666.648,0.619,540.319,64.562,878.756,2788.933,368732203#6_0,0.0,-0.13
61,4,!4,5.593,0.0,0.0,0.0,0.0,49.874,644.52,2475.173,-464275471#0_0,0.0,-4.5
61,5,!5,11.006,2.347,1652.022,0.622,535.576,62.294,968.747,2134.38,-496067748_0,0.0,-0.078
61,6,!6,22.029,15.69,2135.789,0.762,692.415,69.44,388.509,1695.136,876422477#1_0,0.0,-0.191
62,4,!4,7.453,20.188,5170.409,1.517,1676.157,67.286,651.825,2473.725,:3725789313_13_0,0.0,1.86
62,5,!5,10.686,0.0,0.0,0.0,0.0,61.423,958.082,2135.042,-496067748_0,0.0,-0.321
62,6,!6,23.127,145.42,9508.903,3.993,3082.607,72.816,411.544,1693.067,876422477#1_0,0.0,1.098
63,4,!4,9.412,34.345,6168.798,1.931,1999.824,68.652,660.17,2469.555,:3725789313_13_0,0.0,1.959
63,5,!5,10.724,4.581,1932.424,0.709,626.477,62.41,947.379,2135.707,-496067748_0,0.0,0.038
63,6,!6,23.178,43.181,3665.545,1.422,1188.328,70.476,434.63,1690.994,876422477#1_0,0.0,0.052
64,4,!4,11.896,69.558,8758.258,2.945,2839.282,72.043,667.811,2460.473,464275045_0,0.0,2.484
64,5,!5,10.57,0.464,1445.948,0.559,468.771,61.765,936.829,2136.363,-496067748_0,0.0,-0.154
64,6,!6,22.733,0.0,0.0,0.0,0.0,69.505,457.273,1688.96,876422477#1_0,0.0,-0.445
65,4,!4,13.293,52.401,6288.48,2.219,2038.628,68.456,676.006,2450.007,464275045_0,0.0,1.397
65,5,!5,11.504,27.297,4379.731,1.498,1419.847,65.783,925.347,2137.076,-496067748_0,0.0,0.934
65,6,!6,22.236,0.0,0.0,0.0,0.0,69.153,479.421,1686.948,876422477#2_0,0.0,-0.498
66,4,!4,14.293,46.356,5384.224,1.949,1745.486,67.641,684.817,2438.754,464275045_0,0.0,1.0
66,5,!5,8.738,0.0,0.0,0.0,0.0,55.856,916.626,2137.618,-496067748_0,0.0,-2.766
66,6,!6,22.971,108.132,7412.467,3.066,2402.992,71.775,502.299,1684.842,:cluster_11155666525_2895081540_6_0,0.0,0.735
67,4,!4,11.958,0.0,0.0,0.0,0.0,59.87,692.189,2429.34,464275045_0,0.0,-2.335
67,5,!5,4.238,0.0,0.0,0.0,0.0,46.766,912.396,2137.881,-496067748_0,0.0,-4.5
67,6,!6,23.156,56.148,4407.247,1.749,1428.771,70.698,525.292,1682.099,:8156905430_2_0,0.0,0.185
68,4,!4,7.458,0.0,0.0,0.0,0.0,53.336,696.786,2423.468,464275045_0,0.0,-4.5
68,5,!5,5.003,3.888,2717.935,0.837,881.113,61.477,908.522,2135.67,:4877965172_3_0,0.0,0.765
68,6,!6,22.358,0.0,0.0,0.0,0.0,68.907,547.526,1679.761,1203448833#2_0,0.0,-0.798
69,4,!4,6.207,0.0,0.0,0.0,0.0,55.006,700.392,2418.433,:4594098405_6_0,0.0,-1.251
69,5,!5,4.523,0.0,0.0,0.0,0.0,56.153,907.796,2131.233,1208986525#7_1,0.0,-0.48
69,6,!6,23.103,110.643,7527.72,3.121,2440.354,71.872,570.503,1677.349,1203448833#2_0,0.0,0.746
70,4,!4,5.732,0.0,0.0,0.0,0.0,57.041,699.912,2413.111,:4594098405_6_0,0.0,-0.475
70,5,!5,7.066,24.343,6258.544,1.757,2028.903,70.035,907.507,2124.171,1208986525#7_1,0.0,2.543
70,6,!6,22.161,0.0,0.0,0.0,0.0,68.661,592.542,1675.036,1203448833#2_0,0.0,-0.943
70,7,!7,12.307,5.701,1936.333,0.714,627.745,63.445,810.939,2406.78,-368732296#3_0,0.0,0.0
71,4,!4,6.873,10.87,3684.768,1.117,1194.544,64.0,694.961,2408.363,-464275044#0_0,0.0,1.141
71,5,!5,8.7,24.668,5179.118,1.602,1678.987,66.954,907.152,2115.476,1208986525#7_1,0.0,1.634
71,6,!6,22.69,85.698,6172.656,2.517,2001.074,71.144,615.111,1672.691,1203448833#2_0,0.0,0.53
71,7,!7,11.088,0.0,0.0,0.0,0.0,60.029,803.612,2415.108,:4594098403_0_0,0.0,-1.218
72,4,!4,8.601,25.358,5339.749,1.64,1731.059,67.291,688.551,2402.624,:3725790239_1_0,0.0,1.728
72,5,!5,10.978,54.348,7691.186,2.518,2493.356,70.741,906.703,2104.504,1208986525#7_1,0.0,2.278
72,6,!6,22.596,26.432,2741.065,1.02,888.633,69.911,637.588,1670.382,1203448833#2_0,0.0,-0.095
72,7,!7,12.256,37.779,5244.303,1.812,1700.126,67.051,795.514,2424.311,:4594098403_0_0,0.0,1.168
73,4,!4,10.107,31.348,5395.025,1.748,1748.984,67.162,681.375,2395.517,:3725790239_1_0,0.0,1.506
73,5,!5,11.864,27.943,4341.88,1.499,1407.577,65.828,906.219,2092.648,1208986525#7_1,0.0,0.886
73,6,!6,22.679,43.478,3725.479,1.449,1207.757,70.251,660.147,1668.064,1203448833#2_0,0.0,0.083
73,7,!7,11.915,0.0,0.0,0.0,0.0,62.34,787.644,2433.261,-368732296#2_0,0.0,-0.341
74,4,!4,11.565,40.46,5804.284,1.96,1881.66,67.749,674.011,2386.604,464275046_0,0.0,1.458
74,5,!5,7.458,0.0,0.0,0.0,0.0,53.353,905.914,2085.194,1208986525#7_1,0.0,-4.405
74,6,!6,22.336,2.766,1365.779,0.425,442.796,69.406,682.366,1665.782,1203448833#2_0,0.0,-0.343
74,7,!7,12.131,11.279,2530.067,0.91,820.222,63.899,779.632,2442.37,:4594098401_0_0,0.0,0.216
75,5,!5,4.69,0.0,0.0,0.0,0.0,49.601,905.723,2080.506,1208986525#7_1,0.0,-2.768
75,6,!6,22.895,90.402,6408.013,2.624,2077.372,71.321,705.14,1663.442,1203448833#2_0,0.0,0.559
75,7,!7,11.116,0.0,0.0,0.0,0.0,60.366,772.293,2450.715,-368732296#1_0,0.0,-1.015
76,5,!5,4.826,0.923,1801.799,0.655,584.128,58.785,903.375,2084.07,:cluster_293466257_3042737264_8154498079_8156905453_4_0,0.0,0.136
76,6,!6,22.901,37.306,3350.679,1.285,1086.256,70.245,727.919,1661.082,1203448833#2_0,0.0,0.006
76,7,!7,11.421,11.851,2688.413,0.953,871.554,63.675,764.768,2459.303,:3725789306_0_0,0.0,0.305
77,5,!5,4.625,0.0,0.0,0.0,0.0,57.315,900.18,2087.198,:cluster_293466257_3042737264_8154498079_8156905453_4_0,0.0,-0.201
77,6,!6,22.232,0.0,0.0,0.0,0.0,68.96,750.027,1658.745,1203448833#2_0,0.0,-0.669
77,7,!7,11.441,5.063,1932.331,0.711,626.447,62.876,757.286,2467.95,:3725789306_0_0,0.0,0.02
78,5,!5,5.081,2.559,2280.508,0.752,739.312,60.236,895.617,2086.936,:cluster_293466257_3042737264_8154498079_8156905453_4_0,0.0,0.456
78,6,!6,23.14,127.056,8456.672,3.53,2741.498,72.306,773.039,1656.312,1203448833#2_0,0.0,0.909
78,7,!7,11.976,19.312,3397.997,1.193,1101.588,64.744,749.514,2477.061,-368732296#0_0,0.0,0.535
79,5,!5,5.032,0.159,1542.754,0.604,500.153,58.166,892.252,2083.36,:cluster_293466257_3042737264_8154498079_8156905453_4_0,0.0,-0.05
79,6,!6,22.727,0.0,0.0,0.0,0.0,69.541,795.639,1653.922,1203448833#2_0,0.0,-0.413
79,7,!7,11.048,0.0,0.0,0.0,0.0,60.45,742.347,2485.468,-368732296#0_0,0.0,-0.928
80,5,!5,5.323,1.976,2059.127,0.71,667.547,59.702,890.542,2083.148,1208491992#0_1,0.0,0.292
80,6,!6,23.174,82.092,5884.478,2.399,1907.654,71.227,818.687,1651.513,1203448833#2_0,0.0,0.447
80,7,!7,11.766,23.181,3858.415,1.338,1250.847,65.201,734.714,2494.422,-368732296#0_0,0.0,0.718
80,8,!8,13.027,6.763,1989.189,0.733,644.88,63.96,543.509,2586.414,464278499#1_0,0.0,0.0
81,5,!5,6.655,11.708,3962.663,1.173,1284.63,64.679,890.841,2089.797,1208491992#0_1,0.0,1.332
81,6,!6,19.212,0.0,0.0,0.0,0.0,65.813,837.829,1649.871,1203448833#2_0,0.0,-3.962
81,7,!7,11.136,0.0,0.0,0.0,0.0,61.092,727.49,2502.896,-368732296#0_0,0.0,-0.63
81,8,!8,12.92,3.318,1661.388,0.621,538.613,63.628,533.526,2578.214,464278499#1_0,0.0,-0.107
82,5,!5,8.465,25.613,5458.902,1.663,1769.686,67.566,891.222,2098.253,1208491992#0_1,0.0,1.81
82,6,!6,15.513,0.0,0.0,0.0,0.0,62.918,853.285,1648.546,1203448833#2_0,0.0,-3.699
82,7,!7,7.402,0.0,0.0,0.0,0.0,53.436,722.688,2508.529,-368732296#0_0,0.0,-3.734
82,8,!8,12.291,0.0,0.0,0.0,0.0,62.051,524.029,2570.415,464278499#1_0,0.0,-0.63
